,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,tuktoyaktuk,100,CA,1604736724,95,69.45,-133.04,14.07,10.67
1,leningradskiy,100,RU,1604736745,97,69.38,178.42,25.09,18.86
2,albany,2,US,1604736603,64,42.6,-73.97,51.01,4.16
3,qaanaaq,0,GL,1604736740,76,77.48,-69.36,-9.02,6.53
4,latung,100,PH,1604737080,80,5.5,120.88,82.92,15.68
5,mar del plata,95,AR,1604736740,100,-38,-57.56,61,6.93
6,avarua,44,CK,1604736657,94,-21.21,-159.78,69.8,1.12
7,la paz,40,BO,1604737045,86,-16.5,-68.15,30.2,2.24
8,broome,1,US,1604737080,57,42.25,-75.83,51.8,8.05
9,bambous virieux,40,MU,1604736742,65,-20.34,57.76,79,13.87
10,bethel,1,US,1604736718,93,41.37,-73.41,51.01,4.14
11,lompoc,90,US,1604736532,87,34.64,-120.46,51.8,7.81
12,necochea,30,AR,1604736736,90,-38.55,-58.74,51.01,5.01
13,luderitz,0,NA,1604736749,56,-26.65,15.16,66.72,7.31
14,hobart,75,AU,1604736446,54,-42.88,147.33,55,16.11
15,flinders,23,AU,1604737015,66,-34.58,150.86,60.01,16.24
16,hasaki,75,JP,1604736758,82,35.73,140.83,66.99,4.7
18,sasovo,100,RU,1604737081,91,54.35,41.92,39.43,11.27
19,esperance,75,AU,1604736732,72,-33.87,121.9,64.4,17.22
20,sur,28,OM,1604736806,54,22.57,59.53,85.03,10.92
21,atuona,9,PF,1604736721,78,-9.8,-139.03,77.92,20.45
22,vaini,20,TO,1604736725,83,-21.2,-175.2,71.6,4.7
23,pudem,99,RU,1604737082,87,58.3,52.17,36.3,4.99
24,bansang,0,GM,1604737082,88,13.43,-14.65,78.8,5.61
26,labuhan,0,ID,1604736746,65,-6.88,112.21,86.67,9.4
27,moen,75,NO,1604737082,80,69.13,18.61,39.2,11.41
29,pueblo,1,US,1604737083,27,38.25,-104.61,62.6,5.86
30,barrow,90,US,1604736505,80,71.29,-156.79,33.8,18.34
31,abaete,81,BR,1604737015,71,-19.16,-45.45,71.96,2.77
32,cidreira,2,BR,1604736719,84,-30.18,-50.21,66.7,16.67
33,talnakh,40,RU,1604736748,85,69.49,88.4,10.4,15.66
34,east london,20,ZA,1604736766,68,-33.02,27.91,71.6,10.29
35,mataura,100,NZ,1604736719,95,-46.19,168.86,42.49,5.5
36,rikitea,74,PF,1604736535,67,-23.12,-134.97,71.58,16.89
38,puerto ayora,62,EC,1604736724,77,-0.74,-90.35,68,7
39,ushuaia,75,AR,1604736717,81,-54.8,-68.3,44.6,16.11
40,qandala,20,SO,1604737084,41,11.47,49.87,83.37,8.46
41,hermanus,0,ZA,1604736726,49,-34.42,19.23,70,8.99
42,punta arenas,75,CL,1604736586,61,-53.15,-70.92,48.2,11.41
43,thompson,90,CA,1604736722,92,55.74,-97.86,14,4.7
44,arraial do cabo,0,BR,1604736753,75,-22.97,-42.03,69.55,4.07
45,saint george,1,US,1604736723,35,37.1,-113.58,69.8,11.41
46,airai,40,TL,1604736736,45,-8.93,125.41,75.11,6.6
47,severo-kurilsk,65,RU,1604736775,83,50.68,156.12,35.29,6.02
48,busselton,1,AU,1604736636,30,-33.65,115.33,81,12.59
49,upernavik,0,GL,1604736727,80,72.79,-56.15,-3.59,14.72
50,rosarito,90,MX,1604737085,76,32.33,-117.03,60.01,9.17
51,okhotsk,100,RU,1604737085,91,59.38,143.3,13.69,12.3
52,alyangula,36,AU,1604737085,56,-13.85,136.42,93.2,10.29
54,tarakan,61,ID,1604737085,73,3.3,117.63,83.41,7.09
56,saint-paul,75,RE,1604737086,51,-21.01,55.27,82.4,23.04
57,samarai,29,PG,1604736790,82,-10.62,150.67,81.7,15.01
58,puerto narino,0,CO,1604737086,100,-3.77,-70.38,77,0.83
59,ostrovnoy,100,RU,1604736773,83,68.05,39.51,36.37,20.22
60,provideniya,95,RU,1604736721,90,64.38,-173.3,32.88,26.17
61,asind,0,IN,1604737086,14,25.73,74.33,84.69,3.87
62,mahebourg,40,MU,1604736734,65,-20.41,57.7,78.8,13.87
63,okha,94,RU,1604737086,90,53.57,142.95,28.02,10.56
64,nikolskoye,0,RU,1604736756,81,59.7,30.79,48.2,8.95
65,saint-philippe,90,RE,1604736736,57,-21.36,55.77,80.6,14.99
68,dolores,93,AR,1604737087,96,-36.31,-57.68,58.55,3.27
69,nuuk,100,GL,1604737087,92,64.18,-51.72,23,6.93
70,constitucion,0,CL,1604737087,75,-35.33,-72.42,53.82,6.91
71,westport,1,US,1604737087,87,41.14,-73.36,52,6.04
72,cherskiy,90,RU,1604736763,95,68.75,161.3,5.63,7.72
73,rabo de peixe,75,PT,1604736724,67,37.8,-25.58,59,13.87
74,new norfolk,83,AU,1604736721,48,-42.78,147.06,55,5.01
75,dunedin,100,NZ,1604737088,84,-45.87,170.5,48.99,10.47
76,alushta,100,UA,1604737088,62,44.67,34.42,51.93,7.23
77,mangai,81,CD,1604737088,62,-4.05,19.53,83.52,2.17
78,kjollefjord,80,NO,1604737088,71,70.95,27.35,39.99,23.17
79,cape town,75,ZA,1604736509,72,-33.93,18.42,69.01,21.92
80,nidda,0,DE,1604737088,68,50.42,9,43,1.99
81,bluff,100,NZ,1604736732,73,-46.6,168.33,45.81,4.99
82,jamestown,1,US,1604736724,62,42.1,-79.24,53.6,8.05
83,vila velha,75,BR,1604736752,88,-20.33,-40.29,71.6,5.82
84,tiksi,69,RU,1604736730,92,71.69,128.87,-6.68,3.02
85,bredasdorp,0,ZA,1604736727,43,-34.53,20.04,71.6,14.99
86,yellowknife,90,CA,1604736578,92,62.46,-114.35,9,2.24
87,urdoma,98,RU,1604737089,95,61.75,48.54,34.39,4.94
88,leh,0,IN,1604737089,48,34.17,77.58,37.54,2.01
89,hithadhoo,85,MV,1604736753,67,-0.6,73.08,84.04,4.52
90,port elizabeth,0,ZA,1604736719,60,-33.92,25.57,69.8,9.17
92,san-pedro,94,CI,1604737090,88,4.75,-6.64,78.71,3.42
93,hit,0,IQ,1604737090,36,33.64,42.83,75.54,6.31
94,yulara,40,AU,1604736726,10,-25.24,130.99,93.2,3.36
95,kirando,0,TZ,1604737090,44,-7.42,30.6,85.8,8.59
97,victoria,54,HK,1604736648,48,22.29,114.16,84,11.01
98,hualmay,41,PE,1604736764,86,-11.1,-77.61,59.14,4.63
99,ilinskaya,100,RU,1604737091,74,45.72,40.72,48,13.62
100,leirvik,100,NO,1604737091,99,59.78,5.5,46.99,1.01
101,kharan,0,PK,1604737091,13,28.58,65.42,83.12,3.89
102,shimoda,75,JP,1604736749,88,34.67,138.95,68,12.75
103,katakwi,48,UG,1604737091,57,1.89,33.97,80.58,1.95
104,dingle,100,PH,1604736743,95,11,122.67,74.28,5.7
105,opuwo,6,NA,1604737092,13,-18.06,13.84,85.98,6.87
106,bom jesus,74,BR,1604737092,95,-9.07,-44.36,68.77,2.17
107,torbat-e jam,100,IR,1604737092,13,35.24,60.62,79.18,13.24
108,buta,100,CD,1604737092,84,2.79,24.73,76.68,3.62
109,pampa,1,US,1604737092,87,35.54,-100.96,55.4,16.11
110,khatanga,0,RU,1604736735,88,71.97,102.5,-5.33,8.46
111,tahta,0,EG,1604737092,46,26.77,31.5,73.4,5.82
